Key,Source,Context,Changes,English

perkMasterCraftsmanDesc,progression,Perk,New,"Long years of surviving have paid off."
perkMasterCraftsmanName,progression,Perk,New,Master Craftsman
perkMasterCraftsmanRank1Desc,progression,Perk,New,Apprentice
perkMasterCraftsmanRank1LongDesc,progression,Perk,New,"Surviving has taught you many skills, but the journey has just begun."
perkMasterCraftsmanRank2Desc,progression,Perk,New,Practitioner
perkMasterCraftsmanRank2LongDesc,progression,Perk,New,"Getting better at crafting items of all kinds has it's benefits."
perkMasterCraftsmanRank3Desc,progression,Perk,New,Journeyman
perkMasterCraftsmanRank3LongDesc,progression,Perk,New,"No longer a novice to crafting all types of items, you can see the final goal of this journey."
perkMasterCraftsmanRank4Desc,progression,Perk,New,Expert
perkMasterCraftsmanRank4LongDesc,progression,Perk,New,"An Expert at crafting, already word is getting around and survivors are hearing about your items."
perkMasterCraftsmanRank5Desc,progression,Perk,New,Master Craftsman
perkMasterCraftsmanRank5LongDesc,progression,Perk,New,"You have worked hard and have learned many skills. Tier 6 Items are now craftable."
