Key,Source,Context,Changes,English
gunAdvancedCrossbow,items,GunBow,New,[772AB8]Linda's Launcher
gunAdvancedCrossbowDesc,items,GunBow,New,"Type: [decea3]Advanced Crossbow[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Advanced Crossbow Schematic[-]\n\n If only we had Thermite or Napalm Bolts."
gunDeagle,items,GunPistol,New,[772AB8]Desert Eagle
gunDeagleDesc,items,GunPistol,New,"Type: [decea3]Advanced Handgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Steel[-]\nUnlocked by: [decea3]Desert Eagle Schematic.[-]\n\n The Desert Eagle is a powerful semiautomatic handgun."
gunTacticalShotgun,items,GunBow,New,[772AB8]Tactical Shotgun
gunTacticalShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Tactical Shotgun Schematic.[-]\n\n The Tactical Shotgun is a powerful weapon designed to take down the toughest mobs."
gunShawnsShotgun,items,GunShotgun,New,[772AB8]Shawn's Shotgun
gunShawnsShotgunDesc,items,GunShotgun,New,"Type: [decea3]Advanced Pump Shotgun[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Shawn's Shotgun Schematic.[-]\n\n Combined with advanced shotgun ammunition... this weapon is unstoppable."

ammoAdvCrossbowBoltSteel,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel
ammoAdvCrossbowBoltSteelDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Bolt."
ammoAdvCrossbowBoltSteelAP,items,Ammo,New,[772AB8]Advanced Crossbow Bolt Steel AP
ammoAdvCrossbowBoltSteelAPDesc,items,Ammo,New,"Type: [decea3]Advanced Crossbow Bolt[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber/Steel[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight Armor Piercing Bolt."

resourceCarbonFiber,items,Item,New,[772AB8]Carbon Fiber
resourceCarbonFiberDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight material."
resourceCarbonFiberSchematic,items,Item,New,[772AB8]Carbon Fiber Schematic
resourceCarbonFiberSchematicDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](This Schematic is required to build multiple items.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Rare Loot[-]\n\n A Strong lightweight material."
resourceCarbonFiberStock,items,Item,New,[772AB8]Carbon Fiber Stock
resourceCarbonFiberStockDesc,items,Item,New,"Type: [decea3]Advanced Fiber[-] [FF684F](Rare Schematic required to build.)[-]\nMaterial: [decea3]Carbon Fiber[-]\nUnlocked by: [decea3]Carbon Fiber Schematic[-]\n\n A Strong lightweight material."




